
Standard & Poors 500 Index,Last: 4401.6699,Change:  -16.9701
"Date: 15 February 2022, 06:28 GMT-5",Bid: 4338.6899,Ask: 4456.71,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Feb 14 2022,SPXW220214C01200000,0,0,3187.3,3219.9,0,0,0,0,0,1200.00,SPXW220214P01200000,0.05,0,0,0.05,0,0,0,0,3
Mon Feb 14 2022,SPXW220214C01400000,0,0,2987.3,3019.9,0,0,0,0,0,1400.00,SPXW220214P01400000,0.1,0,0,4.1,0,0,0,0,1
Mon Feb 14 2022,SPXW220214C01600000,0,0,2787.3,2819.9,0,0,0,0,0,1600.00,SPXW220214P01600000,0.05,0,0,0.05,0,0,0,0,13
Mon Feb 14 2022,SPXW220214C01800000,0,0,2587.3,2619.9,0,0,0,0,0,1800.00,SPXW220214P01800000,0.07,0,0,4.1,0,0,0,0,1
Mon Feb 14 2022,SPXW220214C02000000,0,0,2387.3,2419.9,0,0,0,0,0,2000.00,SPXW220214P02000000,0.05,0,0,0.05,0,0,0,0,3
Mon Feb 14 2022,SPXW220214C02200000,0,0,2187.3,2219.9,0,0,0,0,0,2200.00,SPXW220214P02200000,0.11,0,0,0.05,0,0,0,0,54
Mon Feb 14 2022,SPXW220214C02400000,0,0,1987.3,2019.9,0,0,0,0,0,2400.00,SPXW220214P02400000,0.05,0,0,0.05,0,0,0,0,86
Mon Feb 14 2022,SPXW220214C02600000,0,0,1787.3,1819.9,0,0,0,0,0,2600.00,SPXW220214P02600000,0.05,0,0,0.05,0,0,0,0,444
Mon Feb 14 2022,SPXW220214C02800000,0,0,1587.3,1619.9,0,0,0,0,0,2800.00,SPXW220214P02800000,0.05,0,0,0.05,0,0,0,0,185
Mon Feb 14 2022,SPXW220214C02900000,0,0,1487.3,1520,0,0,0,0,0,2900.00,SPXW220214P02900000,0.05,0,0,0.05,0,0,0,0,258
Mon Feb 14 2022,SPXW220214C03000000,0,0,1387.3,1419.9,0,0,0,0,0,3000.00,SPXW220214P03000000,0.05,0,0,0.05,0,0,0,0,954
Mon Feb 14 2022,SPXW220214C03100000,0,0,1287.3,1319.9,0,0,0,0,0,3100.00,SPXW220214P03100000,0.05,0,0,0.05,0,0,0,0,788
Mon Feb 14 2022,SPXW220214C03200000,0,0,1187.3,1219.9,0,0,0,0,0,3200.00,SPXW220214P03200000,0.05,0,0,0.05,0,0,0,0,2024
Mon Feb 14 2022,SPXW220214C03300000,0,0,1087.3,1119.9,0,0,0,0,0,3300.00,SPXW220214P03300000,0.05,0,0,0.05,0,0,0,0,874
